origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
Sauce,Itati,1.7587307,14.3581955,0.3307135,16.4476397
Sauce,Ituzaingo,1.7587307,15.8911066,0.2307883,17.8806256
Sauce,Lavalle,1.7587307,9.7994669,0.5167162,12.0749139
Sauce,Mburucuya,1.7587307,11.2021983,0.8480575,13.8089866
Sauce,Mercedes,1.7587307,5.4022045,0.1623535,7.3232887
Sauce,Monte Caseros,1.7587307,2.5735609,0.8646637,5.1969553
Sauce,Paso de los Libres,1.7587307,4.8598297,0.2041507,6.8227111
Sauce,Saladas,1.7587307,9.2805949,0.5657737,11.6050994
Sauce,San Cosme,1.7587307,13.2801012,0.2874875,15.3263194
Sauce,San Luis del Palmar,1.7587307,13.2801012,0.4519434,15.4907754
Sauce,Departamento San Martin,1.7587307,7.0492262,0.4082850,9.2162419
Sauce,Departamento San Miguel,1.7587307,13.1091294,0.2193079,15.0871681
Sauce,San Roque,1.7587307,8.4850992,0.1743486,10.4181785
Sauce,Santo Tome,1.7587307,10.3885099,0.0919626,12.2392032
Sauce,Sauce,1.7587307,0.0000000,0.0919626,12.2392032
