origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
Sauce,Bella Vista,54383.6140275,267535.5570336,27833.4253463,349752.5964074
Sauce,Departartamento Beron de Astrada,54383.6140275,520885.5071654,8754.0021951,584023.1233880
Sauce,Concepcion,54383.6140275,368556.6049774,22708.3855719,445648.6045769
Sauce,Curuzu Cuatia,54383.6140275,84483.8286259,8346.2604857,147213.7031392
Sauce,Empedrado,54383.6140275,339645.4662909,2229.8684496,396258.9487681
Sauce,Esquina,54383.6140275,375871.9370949,2343.7722209,432599.3233433
Sauce,Departamento General Alvear,54383.6140275,232161.9401194,10959.7976890,297505.3518360
Sauce,Departamento General Paz,54383.6140275,418144.1196725,23261.5634817,495789.2971818
Sauce,Goya,54383.6140275,315827.8111555,10757.2401710,380968.6653540
Sauce,Itati,54383.6140275,443985.2806207,10226.3480242,508595.2426725
Sauce,Ituzaingo,54383.6140275,491386.0817210,7136.4546080,552906.1503566
Sauce,Lavalle,54383.6140275,303019.9071141,15977.9407926,373381.4619343
Sauce,Mburucuya,54383.6140275,346395.2821989,26223.7016010,427002.5978274
Sauce,Mercedes,54383.6140275,167047.4036752,5020.3067126,226451.3244153
Sauce,Monte Caseros,54383.6140275,79579.8579667,26737.2007317,160700.6727259
Sauce,Paso de los Libres,54383.6140275,150276.0464779,6312.7632535,210972.4237590
Sauce,Saladas,54383.6140275,286975.3050635,17494.9011340,358853.8202250
Sauce,San Cosme,54383.6140275,410648.3614976,8889.7113288,473921.6868540
Sauce,San Luis del Palmar,54383.6140275,410648.3614976,13975.0313828,479007.0069079
Sauce,Departamento San Martin,54383.6140275,217976.7413285,12625.0211993,284985.3765553
Sauce,Departamento San Miguel,54383.6140275,405361.5579993,6781.4573733,466526.6294001
Sauce,San Roque,54383.6140275,262376.9217816,5391.2224765,322151.7582857
Sauce,Santo Tome,54383.6140275,321234.3428008,2843.6735059,378461.6303343
Sauce,Sauce,54383.6140275,0.0000000,2843.6735059,378461.6303343
